code,ncode,seat,candidate,coalition,party,symbol,ballot_name,electorate,incumbent_2022,incumbent_party_2022,majority_2022
1_N.37,N.37,Johor Lama,Danish Hossman Abd Rahman,PH,PKR,,,32716,Norlizah Noh,BN-UMNO,"6,039"
1_N.37,N.37,Johor Lama,Aisah Esa,PN,BERSATU,,,32716,Norlizah Noh,BN-UMNO,"6,039"
1_N.37,N.37,Johor Lama,Norlizah Noh,BN,UMNO,,,32716,Norlizah Noh,BN-UMNO,"6,039"
1_N.38,N.38,Penawar,Mohd Sawaludin Salleh,PH,AMANAH,,Sawaludin,31112,Fauziah Misri,BN-UMNO,"7,505"
1_N.38,N.38,Penawar,Fairulnizar Rahmat,PN,BERSATU,,Cikgu Nizar,31112,Fauziah Misri,BN-UMNO,"7,505"
1_N.38,N.38,Penawar,Fauziah Misri,BN,UMNO,,,31112,Fauziah Misri,BN-UMNO,"7,505"
1_N.39,N.39,Tanjung Surat,Faizul Abdul Ghani,PH,PKR,,,26943,Aznan Tamin,BN-UMNO,"5,903"
1_N.39,N.39,Tanjung Surat,Aznan Tamin,BN,UMNO,,,26943,Aznan Tamin,BN-UMNO,"5,903"
1_N.40,N.40,Tiram,Nor Zulaila Abd Ghani,PH,DAP,,Nor Zulaila,117496,Azizul Bachok,BN-UMNO,"5,281"
1_N.40,N.40,Tiram,Dr Harith Fakhrudin Abdul Malek,BERSAMA,BERSAMA,,Dr Harith Fakhrudin,117496,Azizul Bachok,BN-UMNO,"5,281"
1_N.40,N.40,Tiram,Khirul Mutanazar Ismail,PN,PAS,,Ustaz Khir,117496,Azizul Bachok,BN-UMNO,"5,281"
1_N.40,N.40,Tiram,Datuk Abdul Halim Suleiman,BN,UMNO,,Dato Hj Abdul Halim bin Hj Suleiman,117496,Azizul Bachok,BN-UMNO,"5,281"
1_N.41,N.41,Puteri Wangsa,Dr Maszlee Malik,PH,PKR,,Dr.Maszlee Malik,128723,"Amira Aisya Abd Aziz - Muda (7,114 majoriti)",,
1_N.41,N.41,Puteri Wangsa,Nicholas Paul Vincent,BERSAMA,BERSAMA,,,128723,"Amira Aisya Abd Aziz - Muda (7,114 majoriti)",,
1_N.41,N.41,Puteri Wangsa,Rashifa Aljunied,MUDA-PSM,MUDA,,,128723,"Amira Aisya Abd Aziz - Muda (7,114 majoriti)",,
1_N.41,N.41,Puteri Wangsa,Teow Chia Ling,BN,MCA,,Teow Chia Ling (Ms.Teow),128723,"Amira Aisya Abd Aziz - Muda (7,114 majoriti)",,
